participant_id,household_size,contact_home,contact_work,contact_school,contact_transport,contact_leisure,contact_other,gender_female,gender_male,age_adult,age_elderly,age_young,age_years
8,5,0,0,1,0,0,0,0,1,1,0,0,47
8,5,1,0,0,0,1,0,0,1,0,1,0,79
8,5,1,0,0,0,0,0,0,1,1,0,0,56
8,5,1,0,0,0,0,0,0,1,1,0,0,48
8,5,0,0,0,0,1,0,0,1,0,0,1,9
8,5,1,0,0,0,0,0,0,1,1,0,0,21
8,5,1,0,0,0,0,0,0,1,1,0,0,51
8,5,0,0,1,0,0,0,0,1,0,0,1,5
8,5,1,0,0,0,0,0,0,1,1,0,0,16
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,1
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,3
9,4,1,0,0,1,0,0,0,1,1,0,0,47
9,4,1,0,1,1,0,0,0,1,0,0,1,1
9,4,0,0,1,0,0,0,0,1,0,0,1,3
9,4,0,0,1,0,0,0,0,1,0,0,1,1
9,4,0,0,1,0,0,0,0,1,0,0,1,1
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,1
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,1
9,4,1,0,0,0,0,0,0,1,0,1,0,80
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,1
9,4,1,0,0,1,0,0,0,1,1,0,0,41
9,4,0,0,1,0,0,0,0,1,0,0,1,3
9,4,0,0,1,0,0,0,0,1,0,0,1,1
9,4,0,0,1,0,0,0,0,1,0,0,1,3
9,4,0,0,1,0,0,0,0,1,0,0,1,3
9,4,1,0,0,0,0,0,0,1,0,0,1,13
9,4,0,0,1,0,0,0,0,1,0,0,1,2
9,4,0,0,1,0,0,0,0,1,0,0,1,2
10,4,1,0,0,0,0,0,1,0,0,0,1,10
10,4,1,0,0,0,0,0,1,0,1,0,0,55
10,4,0,0,0,0,1,0,1,0,0,0,1,3
10,4,0,0,0,0,0,1,1,0,1,0,0,40
10,4,1,0,0,0,0,0,1,0,1,0,0,40
10,4,1,0,0,0,0,0,1,0,1,0,0,28
10,4,0,0,0,0,1,0,1,0,0,0,1,3
10,4,1,0,0,0,0,0,1,0,1,0,0,38
10,4,0,0,0,0,0,1,1,0,1,0,0,21
10,4,1,0,0,0,0,0,1,0,1,0,0,35
10,4,0,0,0,0,1,0,1,0,0,0,1,3
10,4,0,0,0,0,1,0,1,0,0,0,1,3
10,4,0,0,0,0,0,1,1,0,0,1,0,83
10,4,0,0,0,0,0,1,1,0,1,0,0,23
10,4,0,0,0,0,1,0,1,0,0,0,1,3
10,4,0,0,0,0,0,1,1,0,1,0,0,60
10,4,0,0,0,0,0,1,1,0,1,0,0,55
10,4,0,0,0,0,0,1,1,0,0,0,1,5
11,5,1,0,0,0,0,0,0,1,1,0,0,40
11,5,0,0,0,0,0,1,0,1,1,0,0,22
11,5,1,0,0,0,0,0,0,1,1,0,0,41
11,5,1,0,0,0,0,0,0,1,1,0,0,16
11,5,0,0,0,0,0,1,0,1,1,0,0,32
11,5,1,0,0,0,0,0,0,1,1,0,0,50
11,5,1,0,0,0,0,0,0,1,1,0,0,28
11,5,1,0,0,0,0,0,0,1,0,0,1,14
12,3,0,0,0,1,0,1,1,0,1,0,0,30
12,3,1,0,0,0,0,0,1,0,1,0,0,42
12,3,0,0,0,1,0,1,1,0,1,0,0,25
12,3,1,0,0,0,0,0,1,0,1,0,0,42
13,4,1,0,0,0,0,0,0,1,1,0,0,42
13,4,1,0,0,0,0,0,0,1,0,0,1,3
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,0,0,0,1,1,0,0,66
13,4,1,0,0,0,0,0,0,1,1,0,0,42
13,4,0,0,1,0,0,0,0,1,0,0,1,8
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,0,0,0,0,1,0,0,1,0,0,1,8
13,4,0,0,1,0,1,0,0,1,0,0,1,8
13,4,0,0,0,0,1,0,0,1,0,0,1,9
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,0,0,0,1,1,0,0,64
13,4,1,0,0,0,0,0,0,1,1,0,0,42
13,4,0,0,1,0,1,0,0,1,0,0,1,8
13,4,0,0,1,0,0,0,0,1,0,0,1,8
13,4,1,0,0,0,0,0,0,1,1,0,0,42
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,0,0,0,1,1,0,0,62
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,0,0,0,0,1,0,0,1,0,0,1,9
13,4,0,0,0,0,1,0,0,1,0,0,1,9
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,1,0,0,1,0,0,1,3
13,4,1,0,0,0,0,0,0,1,1,0,0,42
13,4,1,0,0,0,0,0,0,1,1,0,0,38
13,4,1,0,0,0,1,0,0,1,1,0,0,38
13,4,1,0,0,0,1,0,0,1,1,0,0,62
13,4,1,0,0,0,0,0,0,1,1,0,0,42
13,4,0,0,1,0,0,0,0,1,0,0,1,8
13,4,0,0,1,0,0,0,0,1,0,0,1,8
13,4,0,0,1,0,0,0,0,1,0,0,1,8
13,4,0,0,0,0,1,0,0,1,1,0,0,65
13,4,0,0,1,0,0,0,0,1,0,0,1,8
13,4,1,0,0,0,0,0,0,1,0,0,1,3
14,4,1,0,0,1,0,0,0,1,1,0,0,39
14,4,0,0,1,0,0,0,0,1,1,0,0,42
14,4,0,0,0,0,0,1,0,1,0,1,0,76
14,4,0,0,1,0,0,0,0,1,0,0,1,2
14,4,0,0,1,0,0,0,0,1,0,0,1,2
14,4,0,0,1,0,0,0,0,1,1,0,0,42
14,4,0,0,1,0,0,0,0,1,0,0,1,2
14,4,1,0,0,1,0,0,0,1,1,0,0,39
14,4,1,0,0,0,0,0,0,1,0,0,1,10
15,3,1,0,0,0,0,0,1,0,1,0,0,40
15,3,0,0,0,0,0,1,1,0,1,0,0,62
15,3,1,0,0,1,1,0,1,0,1,0,0,38
15,3,1,0,0,0,0,0,1,0,0,1,0,71
15,3,1,0,0,0,0,0,1,0,1,0,0,29
15,3,1,0,0,0,0,0,1,0,1,0,0,65
15,3,1,0,0,0,0,0,1,0,1,0,0,37
16,3,0,0,1,0,0,0,0,1,1,0,0,34
16,3,1,0,0,0,0,0,0,1,1,0,0,68
16,3,0,0,1,0,0,0,0,1,1,0,0,55
16,3,0,0,1,0,0,0,0,1,0,0,1,5
16,3,1,0,0,0,0,0,0,1,1,0,0,34
16,3,0,0,1,0,0,0,0,1,0,0,1,5
16,3,0,0,1,0,0,0,0,1,1,0,0,34
16,3,1,0,0,0,0,0,0,1,1,0,0,61
16,3,0,0,1,0,0,0,0,1,1,0,0,24
16,3,0,0,1,0,0,0,0,1,0,0,1,5
16,3,0,0,1,0,0,0,0,1,0,0,1,5
16,3,0,0,1,0,0,0,0,1,0,0,1,5
16,3,0,0,1,0,0,0,0,1,0,0,1,5
16,3,0,0,0,0,1,0,0,1,1,0,0,27
16,3,0,0,0,0,1,0,0,1,0,0,1,9
16,3,0,0,1,0,0,0,0,1,0,0,1,5
16,3,1,0,0,0,0,0,0,1,1,0,0,41
16,3,0,0,0,0,1,0,0,1,1,0,0,59
16,3,0,0,0,0,1,0,0,1,1,0,0,57
16,3,0,0,1,0,0,0,0,1,0,0,1,5
17,6,0,0,0,0,1,0,0,1,0,0,1,12
17,6,0,0,0,0,1,0,0,1,1,0,0,35
17,6,0,0,0,0,0,0,0,1,0,0,1,12
17,6,0,0,0,0,1,0,0,1,0,0,1,12
17,6,0,0,0,0,0,1,0,1,0,1,0,72
17,6,0,0,0,0,1,0,0,1,0,0,1,12
17,6,0,0,0,0,0,1,0,1,1,0,0,38
17,6,0,0,0,0,1,0,0,1,0,0,1,11
17,6,0,0,0,0,1,0,0,1,0,0,1,13
17,6,0,0,0,0,1,0,0,1,0,0,1,13
17,6,0,0,0,0,1,0,0,1,1,0,0,40
17,6,0,0,0,0,1,0,0,1,0,0,1,12
17,6,0,0,0,0,0,1,0,1,0,0,1,6
17,6,0,0,0,0,1,0,0,1,1,0,0,35
17,6,0,0,0,0,0,1,0,1,0,0,1,12
17,6,0,0,0,0,0,1,0,1,1,0,0,40
17,6,0,0,0,0,0,1,0,1,1,0,0,53
17,6,0,0,0,0,0,1,0,1,1,0,0,30
17,6,0,0,0,0,1,0,0,1,0,0,1,12
17,6,0,0,0,0,1,0,0,1,1,0,0,60
17,6,0,0,0,0,0,1,0,1,1,0,0,40
17,6,0,0,0,0,0,1,0,1,1,0,0,38
17,6,0,0,0,0,0,1,0,1,1,0,0,50
18,3,1,0,0,1,1,0,1,0,1,0,0,38
18,3,0,0,0,0,0,1,1,0,1,0,0,42
18,3,1,0,0,1,1,0,1,0,1,0,0,34
18,3,0,0,0,0,1,0,1,0,1,0,0,34
18,3,0,0,0,0,1,0,1,0,1,0,0,33
19,4,0,0,0,0,1,0,0,1,0,0,1,3
19,4,0,0,0,0,1,0,0,1,1,0,0,55
19,4,1,0,0,1,1,0,0,1,1,0,0,62
19,4,1,0,0,0,1,0,0,1,0,0,1,3
19,4,1,0,0,0,1,0,0,1,1,0,0,39
19,4,1,0,0,0,0,0,0,1,1,0,0,42
19,4,1,0,0,0,1,0,0,1,1,0,0,31
19,4,1,0,0,0,0,0,0,1,1,0,0,62
19,4,1,0,0,1,1,0,0,1,0,0,1,10
19,4,0,0,0,0,1,0,0,1,0,0,1,4
19,4,1,0,0,0,1,0,0,1,1,0,0,37
19,4,1,0,0,1,1,0,0,1,1,0,0,35
19,4,0,0,0,0,0,1,0,1,1,0,0,50
19,4,1,0,0,0,1,0,0,1,0,0,1,4
19,4,0,0,0,0,1,0,0,1,1,0,0,55
19,4,0,0,0,0,1,0,0,1,0,0,1,4
19,4,1,0,0,0,1,0,0,1,1,0,0,34
20,4,0,0,1,0,0,0,0,1,1,0,0,47
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,0,0,1,0,0,1,0,0,1,8
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,1,0,0,32
20,4,1,0,0,0,1,0,0,1,0,0,1,10
20,4,0,0,1,0,0,0,0,1,1,0,0,45
20,4,1,0,0,1,1,0,0,1,1,0,0,40
20,4,0,0,1,0,0,0,0,1,1,0,0,47
20,4,0,0,1,0,0,0,0,1,1,0,0,30
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,1,0,0,0,1,0,0,1,0,1,0,77
20,4,1,0,0,0,1,0,0,1,0,1,0,77
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,1,0,0,35
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,1,0,0,47
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,0,0,1,0,0,1,0,0,1,11
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,0,0,1,3
20,4,0,0,1,0,0,0,0,1,0,0,1,3
21,5,0,0,1,0,0,0,1,0,0,0,1,1
21,5,0,0,1,0,0,0,1,0,0,0,1,2
21,5,0,0,1,0,0,0,1,0,0,0,1,3
21,5,0,0,0,0,1,0,1,0,1,0,0,70
21,5,1,0,0,0,0,0,1,0,0,0,1,4
21,5,1,0,0,0,0,0,1,0,1,0,0,41
21,5,0,0,1,0,0,0,1,0,1,0,0,40
21,5,1,0,0,0,0,0,1,0,0,0,1,6
21,5,0,0,1,0,0,0,1,0,0,0,1,1
21,5,0,0,1,0,0,0,1,0,1,0,0,30
21,5,0,0,0,0,0,1,1,0,1,0,0,40
21,5,0,0,1,0,0,0,1,0,1,0,0,30
21,5,0,0,1,0,0,0,1,0,0,0,1,2
21,5,0,0,1,0,0,0,1,0,0,0,1,3
22,5,0,0,1,0,0,0,0,1,0,0,1,3
22,5,0,0,0,0,1,0,0,1,1,0,0,47
22,5,1,0,0,0,0,0,0,1,1,0,0,39
22,5,1,0,0,0,0,0,0,1,0,0,1,2
22,5,0,0,1,0,0,0,0,1,0,0,1,3
22,5,0,0,0,0,0,1,0,1,1,0,0,67
22,5,0,0,1,0,0,0,0,1,0,0,1,3
22,5,1,0,0,0,0,0,0,1,1,0,0,65
22,5,0,0,1,0,0,0,0,1,1,0,0,42
22,5,0,0,1,0,0,0,0,1,0,0,1,3
22,5,0,0,0,0,1,0,0,1,1,0,0,37
22,5,0,0,1,0,0,0,0,1,0,0,1,3
